ROUGE-Type,Task Name,System Name,Avg_Recall,Avg_Precision,Avg_F-Score,Num Reference Summaries
ROUGE-L+StopWordRemoval+Stemming,148,23.TXT,0.35246,0.24918,0.29196,5

ROUGE-1+StopWordRemoval+Stemming,148,23.TXT,0.50160,0.23921,0.32394,5

ROUGE-2+StopWordRemoval+Stemming,148,23.TXT,0.18043,0.07126,0.10216,5

ROUGE-SU4+StopWordRemoval+Stemming,148,23.TXT,0.27651,0.11462,0.16206,5

ROUGE-L+StopWordRemoval+Stemming,105,12.TXT,0.60562,0.19041,0.28973,4

ROUGE-1+StopWordRemoval+Stemming,105,12.TXT,0.71795,0.17629,0.28307,4

ROUGE-2+StopWordRemoval+Stemming,105,12.TXT,0.35125,0.06701,0.11255,4

ROUGE-SU4+StopWordRemoval+Stemming,105,12.TXT,0.45399,0.09364,0.15526,4

ROUGE-L+StopWordRemoval+Stemming,106,15.TXT,0.60432,0.25118,0.35487,3

ROUGE-1+StopWordRemoval+Stemming,106,15.TXT,0.71263,0.24024,0.35934,3

ROUGE-2+StopWordRemoval+Stemming,106,15.TXT,0.39049,0.10032,0.15963,3

ROUGE-SU4+StopWordRemoval+Stemming,106,15.TXT,0.47991,0.13159,0.20654,3

ROUGE-L+StopWordRemoval+Stemming,128,19.TXT,0.47561,0.23657,0.31597,4

ROUGE-1+StopWordRemoval+Stemming,128,19.TXT,0.60006,0.24465,0.34758,4

ROUGE-2+StopWordRemoval+Stemming,128,19.TXT,0.25377,0.08530,0.12768,4

ROUGE-SU4+StopWordRemoval+Stemming,128,19.TXT,0.33093,0.11919,0.17526,4

ROUGE-L+StopWordRemoval+Stemming,129,22.TXT,0.48541,0.23889,0.32019,4

ROUGE-1+StopWordRemoval+Stemming,129,22.TXT,0.59428,0.24513,0.34709,4

ROUGE-2+StopWordRemoval+Stemming,129,22.TXT,0.27690,0.09401,0.14037,4

ROUGE-SU4+StopWordRemoval+Stemming,129,22.TXT,0.34670,0.13007,0.18917,4

ROUGE-L+StopWordRemoval+Stemming,108,14.TXT,0.58963,0.30378,0.40098,3

ROUGE-1+StopWordRemoval+Stemming,108,14.TXT,0.72381,0.27859,0.40233,3

ROUGE-2+StopWordRemoval+Stemming,108,14.TXT,0.30525,0.10036,0.15105,3

ROUGE-SU4+StopWordRemoval+Stemming,108,14.TXT,0.44892,0.14655,0.22096,3

ROUGE-L+StopWordRemoval+Stemming,109,16.TXT,0.57996,0.23638,0.33587,3

ROUGE-1+StopWordRemoval+Stemming,109,16.TXT,0.67699,0.21771,0.32947,3

ROUGE-2+StopWordRemoval+Stemming,109,16.TXT,0.31749,0.07549,0.12198,3

ROUGE-SU4+StopWordRemoval+Stemming,109,16.TXT,0.41688,0.10809,0.17166,3

ROUGE-L+StopWordRemoval+Stemming,64,5.TXT,0.37596,0.25447,0.30351,4

ROUGE-1+StopWordRemoval+Stemming,64,5.TXT,0.50055,0.19843,0.28420,4

ROUGE-2+StopWordRemoval+Stemming,64,5.TXT,0.17792,0.06910,0.09954,4

ROUGE-SU4+StopWordRemoval+Stemming,64,5.TXT,0.25654,0.09524,0.13891,4

ROUGE-L+StopWordRemoval+Stemming,65,7.TXT,0.41582,0.27987,0.33456,3

ROUGE-1+StopWordRemoval+Stemming,65,7.TXT,0.53211,0.23819,0.32907,3

ROUGE-2+StopWordRemoval+Stemming,65,7.TXT,0.20206,0.07738,0.11191,3

ROUGE-SU4+StopWordRemoval+Stemming,65,7.TXT,0.29413,0.11155,0.16175,3

